,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x16,x17,d9,d10,d11,d12,d13,d14,d15,d16,theta3,theta4
137,14.87698612,21.42092272,19.94176705,3.35176242,-0.656713921,12.43813594,7.005548147,10.83737583,32.07087991,15.4927969,24.47542181,46.82592352,7.100960347,57,111,2.00120468,0.658175171,1.19024967,1.21468178,6.15447443,2.894631248,0.422224237,1.130876147,0.366484029,0.39923165
147,14.51808265,20.90252291,21.65234754,3.288844014,0.721983553,12.62955158,7.403451573,11.51694951,34.34765896,13.46103391,23.1514189,48.27557565,4.161111126,58,120,2.024363951,0.715457247,1.383697554,1.833179998,6.91958397,2.68108881,0.421840553,0.520076391,0.449339243,0.424945239
148,13.90330711,18.86552583,19.27582962,3.403535732,0.393764914,10.48845975,6.943988925,9.754753405,29.39207906,12.32308387,22.07012958,43.90518034,-1.266812335,55,111,1.980307891,0.492067161,1.89327707,1.2944669,6.069625907,2.903234598,0.495861298,0.81702833,0.389669547,0.561542701
152,15.39123048,22.12327082,20.10205893,2.198495558,0.983205572,11.92278417,7.020967267,11.28309949,31.64957253,11.71045041,20.30957908,46.71563617,3.715976951,57,109,1.835833356,0.667177495,1.644316987,1.245751578,6.128217598,2.765239948,0.609020007,0.975512667,0.534109441,0.421099304
153,13.75020032,23.41716169,19.64121422,2.066955411,0.665434952,11.70471597,1.905977576,12.04035876,31.93228338,12.73229007,20.9002454,45.68248369,1.902593253,58,108,1.740561487,0.845710214,1.631418875,1.465939149,6.078134822,2.819367787,0.503941184,1.009777481,0.498493178,0.475632709
154,16.03822329,22.70717376,18.61332583,2.179056714,0.568170553,11.02012889,5.437832716,9.936521287,29.91177841,11.81176353,21.15200076,43.58854551,3.926363567,57,98,1.801252932,0.815577526,1.495924846,1.143382378,6.15224303,2.54704597,0.777348267,0.949544025,0.205387543,0.506584921
155,14.5233447,21.96414201,20.04640052,2.872515355,1.011935849,10.66558126,6.340923648,9.179796491,29.16015302,11.01015052,22.66616418,44.59120676,1.086112304,55,94,1.925205812,0.377609708,1.901308079,1.238712993,6.192544168,3.104979201,0.562351021,0.889094972,0.426304876,0.571815504
156,13.56611352,21.39010062,19.5227063,2.27321761,-0.559743146,10.20171737,5.496582172,9.640534956,25.82988015,9.554169742,21.98908535,42.97744764,2.048712203,55,97,1.553074266,0.565307085,1.529335898,0.974287213,5.424314592,2.718003201,0.507146149,0.918063512,0.387943149,0.495409977
162,15.40958676,21.45416985,23.06423889,3.633424792,0.305272303,14.04260729,1.981711496,12.43539514,30.5706318,13.66979471,24.24902052,50.57824042,0.866747041,56,112,2.170212388,0.97784399,1.707665942,1.936045012,7.907155437,3.144018068,0.910621071,1.242739238,0.287554668,0.401442842
163,15.67553476,23.57239337,20.73803745,3.227538528,-0.275302842,12.10585853,3.897239385,11.33315077,32.90310267,12.41626516,24.8397825,47.80262086,2.694598906,57,117,1.638213939,0.735301531,1.642918748,1.728570945,6.242039898,2.940489635,0.598031451,1.005684255,0.353903213,0.465055032
